       X(m)            Y(m)              Y(m)         
   -1132914.8319    6092529.0728    1504633.4693
   -1132914.8211    6092529.0503    1504633.4792
   -1132914.8245    6092529.0578    1504633.4898
   -1132914.8230    6092529.0528    1504633.4851
   -1132914.8146    6092529.0145    1504633.4881
   -1132914.7451    6092528.6251    1504633.2265
   -1132914.9339    6092529.4966    1504633.8459
   -1132914.8999    6092529.3430    1504633.8509
   -1132914.7560    6092528.7876    1504633.5344
   -1132914.6646    6092528.4026    1504633.3059
   -1132914.6726    6092528.4660    1504633.3949
   -1132914.6862    6092528.5304    1504633.4763
   -1132914.7274    6092528.6211    1504633.5421
   -1132914.7329    6092528.6043    1504633.5501
   -1132914.7262    6092528.4701    1504633.4829
   -1132914.7171    6092528.3542    1504633.4132
   -1132914.7265    6092528.2967    1504633.3945
   -1132914.7343    6092528.2582    1504633.3736
   -1132914.7597    6092528.2792    1504633.4144
   -1132914.7829    6092528.2452    1504633.4387
   -1132914.8047    6092528.2221    1504633.4611
   -1132914.7964    6092528.0626    1504633.3951
   -1132914.8014    6092527.9381    1504633.3820
   -1132914.8182    6092527.8566    1504633.3785
   -1132914.8452    6092527.7385    1504633.3688
   -1132914.8692    6092527.6049    1504633.3886
   -1132914.6961    6092528.6728    1504633.4447
   -1132914.7028    6092528.6851    1504633.4453
   -1132914.6910    6092528.6725    1504633.4500
   -1132914.6858    6092528.6797    1504633.4612
   -1132914.6953    6092528.7197    1504633.4822
   -1132914.6815    6092528.7351    1504633.4989
   -1132914.6871    6092528.7618    1504633.5110
   -1132914.6742    6092528.6943    1504633.4782
   -1132914.6704    6092528.6808    1504633.4790
   -1132914.6700    6092528.7066    1504633.4964
   -1132914.6842    6092528.7660    1504633.5280
   -1132914.6813    6092528.7736    1504633.5329
   -1132914.6797    6092528.7849    1504633.5512
   -1132914.7346    6092528.4573    1504633.4801
   -1132914.7237    6092528.4224    1504633.4764
   -1132914.7165    6092528.3700    1504633.4482
   -1132914.7031    6092528.3560    1504633.4487
   -1132914.7006    6092528.3434    1504633.4531
   -1132914.6944    6092528.3371    1504633.4419
   -1132914.6921    6092528.3151    1504633.4450
   -1132914.6820    6092528.2691    1504633.4381
   -1132914.6780    6092528.2714    1504633.4301
